1 t,	@vanessaliang sorry
1146 t,	@dannitothemoon hes very nifty  he makes my life
1147 t,	@DTExtraordinary this is soooo true!
1148 t,	blame it on the a-a-alcohol.
1149 t,	can you help me decided whati need? pleaaasseee,Illowe you! idk what, butI will
1150 t,	@lawday I think i'm falling in love with you!!  xxx #iloveyou
1151 t,	@EmilyFPowell Hey have fun manana. I'll be slaving away at work! Don't worry about me...
1152 t,	going to bed early! TGIF tomorrow!  goodnight. &lt;3
1153 t,	@N3W_Media They must be selling gallons of Sun Protection Lotion over there
1154 t,	@bright_side well, i'm addicted to visual art + gr8 design... at the same time i like knowing who the person is behind the symbol.
1155 t,	@_stacyyy yea ima go to tomorrow, u should go... yay just got to see crystal &amp; christine.
1156 t,	@ASPB_UCR i love you ASPB!!!
1157 t,	via @DirectionWorks: Hello and thank you for following me. I look forward to getting to know you.
1158 t,	@alexandramusic Alex... if we believed everything we read none of us in the world wud be fans of anyone! True fans stick by!
1159 t,	@danrom81 I think i'm falling in love with you!!  xxx #iloveyou
1160 t,	@theirishduck I think it's at my brother and sisters place. But omg! I will do more blogs with ikearabbit
1161 t,	yum yum swedish fishies  mmm lets chat.haha
1162 t,	@wahliaodotcom I was wondering what #ff meant. Hehe! Thanks for the love!
1163 t,	@far1983 Thanks a ton for the re-tweet..
1164 t,	I love this song  Moby ï¿½ Memory Gospel ? http://blip.fm/~78q1n
1165 t,	Going out to play badminton soon! Right after my Restaurant in Restaurant City levels up!
1166 t,	Getting excited about an artful weekend.
1167 t,	@Killandra ah I didn't see that one I guess
1168 t,	@cityguyyoga Great to 'see' you! Your blog article sounds interesting
1169 t,	@pravacouture Its ok. I have the @loadingreadyrun ringtone so I think that makes me a bigger geek then having a rick roll ringtone.
1170 t,	@perpetualspiral I think you should ask joe if you can get a blue ribbon put on your avatar..like mine.
1171 t,	I woke up to get some water and it's pouring out and it's really making me want to just go outside and dance in the rain
1172 t,	@david_hay and i thought i drank a lot of coffee! I am a light weight
1173 t,	@Dr_DinaSadik hahaha very funny  new wife i think lol
1174 t,	@MysteryGuitarM Happy birthday
1175 t,	So many times and places I've felt &quot;out of place&quot;, I like it here because I feel at home.  -sonya is content in The Valley
1176 t,	@HockeyRocker People dig the accent? Maybe the like being reminded why we declared our independence?
1177 t,	@jonchou Yay congrats!  Spoil them rotten
1178 t,	@tommymercedes Well he doth tweet too much, much like myself. That may have something to do with it.
1179 t,	@StaceyMonk Hey, no worries  Glad to be of help. Heh.
1180 t,	Just finished doing 'khilwaar' with a Select menu.
1181 t,	@b50 of course, we trust u wudn't do tht. its great to see the enthu anyway
1182 t,	@BReal_2 : MAN any event that is hosted by Remy is the Shit!  I can not believe i forgot about tonight damn vice bass,,,lol: HI VINCE
1183 t,	Archie is getting married to Veronica!!! Congratulations!! Betty must be soooooooo disappointed... she waited for 67 years!
1184 t,	Get Back &amp; Dont Forget by Demi Lovato explains the way i feel.
1185 t,	seems a nice day outside  my son seems better and for now i'm ok new playlist is almost 4 iphone is almost ready
1186 t,	omg cant wait for the new Demi Lovato album this summer omg i luv her music shes so good
1187 t,	Oh man, I fell asleep. Time to go to bed and get ready for the &quot;fun suck&quot;.  I get to wear jeans like a normal guy though.
1188 t,	its finally the holidays! drew an art piece kinda like a card with jamie.. talent doesn't fail me!
1189 t,	@bleed_purple twice -_-. armans starting at 7 soo you never know
1190 t,	hot chocolate is truly great
1191 t,	NEEDS sleep so bad right now ; totally excited about tomorrow!  &lt;3
1192 t,	goodnight to all my TB lovers and thank you all for being the best friends i've ever made  and pray I get some damn thunder tonight!!
1193 t,	@amandel77 Lol, power drill...  yeah I suppose you're right. That could be taken a few ways. Haha
1194 t,	@ellamorton pls keep the vids coming. wish i can DL it on itunes.  it's nice to see you on a video again. missed you from planet cnet.
1195 t,	Love song for the night, in honor of @IdolScott MacIntyre Day, &quot;Just The Way You Are&quot; by Scotty Mac   Love &amp; Light ! Joy WA 31
1196 t,	is now in east coast!
1197 t,	@allyXwebb hahaha I was about to study but my hands reached for my iPod instead of my trig book
1198 t,	A little sneak peak at today's mini photo shoot. Lemme know what you think.  http://bit.ly/PiY4W
1199 t,	It's a sunny Friday morning in london - yipee
1200 t,	ï¿½ Europe, from Gibraltar to Jerusalem ï¿½ - interesting propositions   http://tr.im/mL6X
1201 t,	Going to bed and then off to my get-away with my hubby!!!!!  Won't be on for a few days, ya'll behave yourself I know I won't
1202 t,	All set to Coonoor this weekend
1203 t,	@royalspostgame That is a great idea. Kila would be a great bodyguard, NO ONE would mess with me.  Please do tell him to watch my back..
1204 t,	Guess who has unlimited texting now?! ME!!!  Now I can tell people this popular phrase 'text me'!
1205 t,	exhausted, ready for sleep
1206 t,	@cha_rade  about time Kuya John!!!! Geeezzzz!!!!!  mwah!!!!
1207 t,	Oh Uncle Grandpa and your flying tiger rainbow farts
1208 t,	made lemonade with the rest of the lemon and sugar from the pancakes
1209 t,	on my way to Riverwind to hang with my family and gamble....  Luckily, I have great company
1210 t,	@FatherBob don't let @cameronreilly stop you  ... but Aussies aren't really into Second Life
1211 t,	@joanneyong hugs sayang while she waits for it to blow over
1212 t,	@bluestreak23 Haha yep its definitely not going to be done in a day that's for sure
1213 t,	@theclimbergirl I don't know, I will throw it up online.   It really does work on me...
1214 t,	Wow! Amanda Holden has Twitter!! Yayy!! She rocks so much! Love her!!!  (L)
1215 t,	@PvtMarcus lol F'ck yeah
1216 t,	@ElViejon Hahaha dude thanks. those are my classmates
1217 t,	@paige_harris ok  but first i want to record a song before i make one
1218 t,	Either It's Wayy Too Late In The Niqht For Me Or I Just Cant SPELL !
1219 t,	bed time  got things to do in the morningg
1220 t,	but seriously... its hard finding an actually good and SCARY scary movie. anyone have any suggestions or favorites?  i love the ones
1221 t,	@nik_kee_dee morning love! What a pleasant surprise to see you here.  x
1222 t,	@naturallydiesel living in LA for july? not going on warped tour with the boys?
1223 t,	@MikeMathia your avatar is definitely eye-catching. and i like that your twitter bg has a photo, so ppl know you're a real guy.
1224 t,	Headache is gone but don't want to sew right now so I am working on vectors for my official site coming soon. Very cute may I add
1225 t,	Praying for my Aunt Winnie. You can get through this, i know you can  Love You!!!
1226 t,	@meg___ come to the states and we'll have sooo much fun  pleaseeee
1227 t,	Hannah Montana Movie, greaaaaaat movie. i loved it.  goooodnight.
1228 t,	..I am going in the garden..right now   the sun is shining and the sky is blue....*lalalaaaaa* ;-)
1229 t,	@comicIDIOT Eh, I never liked Orkut... Maybe I should give it another look.
1230 t,	i really want to punch my principal in the face. i think it would be a great acheivement. talk about boom boom POW!
1231 t,	Yay it's Friday, Suns out...Good morning everyone
1232 t,	sleeping, tomorrow will be a better day
1233 t,	@cognoscento i had to check wikipedia.  i couldnt even remember his name- you win
1234 t,	@tbbs: Sarah Connor: So badass, even men from the future have the hots for her!
1235 t,	Twitter is crazy  u never know what trend pops up. Anything goes! I guess I'm more impressed by the speed of the words.
1236 t,	I feel really super happy at the moment  And I don't know why. But I'm so freaking bouncy and euphoric.
1237 t,	Swimsuit season! I'm really into glam one-pieces this season  pool partayy! http://twitpic.com/66329
1238 t,	@lancearmstrong So how the hell does he speak with people at Rabo?  Don't think these guys are that fluent in russian either!  Greetz!
1239 t,	Back in Syracuse, exhausted! Off to bed. Up early to write love letter to accompany my gifts to the administration and some staff at ESF!
1240 t,	@shoelover79 bahahah IT?! Ummm....I was joking, but u know....u could try it
1241 t,	You could be my punk rock princess
1242 t,	@sids anytime mate
1243 t,	@bella456 No need sit... just as long as u can wiggle dance! LOL!
1244 t,	@TalindaB hey chica, how are you two doing?
1245 t,	haha  I could just see your little monster boogie down to &quot;green light&quot; @co3z ? http://blip.fm/~78q4q
1246 t,	Good Morning tweeple!  i greet based on #.ke time...or maybe i just...naah! ;)
1247 t,	@overshootTV Summer started months ago.  School starts in June and ends in March. :] It's weird. LOL. It's always sunny here.
1248 t,	Tonight was way fun. Thanks to @jescakate for coming with me
1249 t,	back home from an insane evening at rodeo+midway...so much fun with my kiddos
1250 t,	Just got done putting up signs  haha I just love political adventures
1251 t,	@YaelBeeri Good Morning to you and Hag Sameach !!!
1252 t,	opppsss option pala, not hidden post
1253 t,	waaah! I didn't get a good nice sleep last night! ..so sleepy now! haha
1254 t,	@yshtheflyest ??? ??? ??? ???? ?????. &quot;Niggaz straight hatin' sayin' I ain't the best / Till I choir their shit up like Kanye West&quot;
1255 t,	I HAVE A GREAT PLAN BREWING
1256 t,	Going to bed and then off to my get-away with my hubby @davekerber!!!!!  Won't be on for a few days, ya'll behave yourself I know I won't
1257 t,	@Yung_Cordi ahaha lol...ii got you love  lol
1258 t,	I have songs from both Rent and Wicked in my head. It's slightly confusing. In good news I remembered my hayfever tablet today  win!
1259 t,	@riskybizness23 ; omggggg it's risky! she was my favorite off of real chance of love, &amp; she's hot! hello moto
1260 t,	Who feels good?......I DO
1261 t,	Trying to convince my dad to take me to Nashville on June 9th so I can hang with @syddddney and @morganedgar1307...
1262 t,	@stroemberg Gubbe!
1263 t,	i hate going to shows at the journal  because of the parking experience. lol  thanks all for posting those tweets!!renewed my anti journal
1264 t,	@buttaflyprncss I hope u get some sleep soon!  If ur free tomorrow, I'd luv 2 chat with ya.  Have a blessed &amp; stress free day @ work.
1265 t,	is partyinggg! Yay summer!!!!!!!
1266 t,	Nothin like Fresh Prince &amp; CTC(cinnamon toast crunch) To finish off the night
1267 t,	@PorkChopJones  Ohh, those harsh tapioca queens!!  Child abuse, I tell ya... On the other hand..now you know not to eat it! Helpful mama.
1268 t,	Trying to hit the sack. Had 2 ck out @blacktokyo #YouTube vid of #HirokoMima. {GREAT JOB} a #Tweeple {MUST SEE} don't delay. CK IT OUT
1269 t,	Functional Programming in C# coming up at #devdays - 9:15am - will be interesting to see how many make it  See you there!
1270 t,	@youngmoneydre1 model,promoter,assistant,radio personality,dancer,actress,poet,internet  bully, internet queen and independent
1271 t,	Lovely and sunny out there, and we can now see out of some windows in our new building. Glad they thought to put some glass in this time
1272 t,	is going to west end tomorrow with nicolejah boy and estherrr
1273 t,	@faahz ok..Dont take too long. I got @brittanyop with me and i've been bragging about you.
1274 t,	I think I went well in my 2 exams today  yay!
1275 t,	IHOP time with Mine'! I wish Matt didn't have a job
1276 t,	@kiss_ty thank you so much hun, appreciate it
1277 t,	@joviamariana he? religion assignment? well, I'm glad I don't have to do one
1278 t,	@erikamodina Love that song &amp; your pic !
1279 t,	@Whitney04 I'd actually blame it on the aa-aaa--aaaa-alcohol  but yeah you could be right.
1280 t,	@v1kthor  :*
1281 t,	Weds June 10th @ Little Temple on Santa Monica Blvd off Virgil. Come dance and make a difference!  REAL...
1282 t,	@madlacanilao Alright I'm sorry. Thank you for correcting my error. You're a geek. I love you.
1283 t,	brand new design over at hilarynews.com - what do you think? still some tweaking to do, btw.
1284 t,	@emdanyell I love you more, Twin.
1285 t,	Being an auntie is pretty awesome. The baby and I took a nap today
1286 t,	killin dain at dominoes! by a house and a half yo! he mad lol
1287 t,	at a friend's house, watching Gossip GIrl and having a ton of fun  stil, I miss the internet.
1288 t,	@Fuge19 imma see wassup. Call me the MatchMaker! Lol
1289 t,	@MysteryGuitarM awhhh thanks for following me Joe  i love ur videos on youtube ur extremely talented! oh and happy birthday again!! lol
1290 t,	@RiaJuanita haha- your life sucks! i kidd- i heart you
1291 t,	@roxygirl00 sure...that's what they all say!
1292 t,	just did a ton of dishes.  It took me an hour to wash and dry...  Im proud of myself.
1293 t,	soooooo i finally joined twitter... what do you know. and terminator was freaking awesome!!!!! christian totally made that movie
1294 t,	It's annoying when people show off their fame 'n fortune to the world. WHATEVERS! I'm 'bout to relax the night away w/ my peoples
1295 t,	@1_50_1 YEAHHHH!! I'm HAAAPPYYY!! Everything is beautiful
1296 t,	I'm gonna need a rake to get this fuck knot outta my hair
1297 t,	@hardlynormal soon my friend. Soon.
1298 t,	@TheFlyest1 haha. I'll tell you off twitter.
1299 t,	@leejayabucayan if it was only a game. tru dat.
1300 t,	I'm going to watch Terminator Salvation later. After the movie, beer with my friends.
1301 t,	had a very productive day today
1302 t,	still looking for a digital slr camera. anyone who would like to give me one for christmas? please?
1303 t,	finally friday
1304 t,	@aliizandra Never heard that name, but y'know, I think I like it too.
1305 t,	@seblefebvre http://twitpic.com/6633v see this photo, is it nice?  xD
1306 t,	Lovely night out with @curtisnorman @nickwmay and more. Woody's can be fun!  Now: bed.
1307 t,	@gunsandbutter12 I had cookies
1308 t,	is anxious to see Daniel again!
1309 t,	@rojay529 thanks! you're the bestest.
1310 t,	@Bandworker i don't know you but you are very kind hearted and thats really cool.. yea i'm okay to answer your question.. are you ok?  lol
1311 t,	You must be THIS tall to ride this ride. Good morrow! Taking Back Sunday is marvelous. I think Ill watch another movie now.
1312 t,	@Buchautor Thanks for the #followfriday love
1313 t,	@justyu so many yummy things!!!
1314 t,	took a short nap. headache. ugh. @adam_lambert is an impostor. i'll dm him for fun. LOL
1315 t,	Going to eat for now, feelin' hungry...
1316 t,	http://twitpic.com/6634p - Its been soo long...Georiga Peach is the best kind of green tea. Hands Down! It wins  Of course
1317 t,	Happy Birthday to my second mom Toni!!! Have a wonderful day and a great trip with your family! Don't worry about anything else
1318 t,	Thanks again @feralbeagle...just a few short moments with http://mylifeisaverage.com and I'm smiling  Never fails.
1319 t,	Coffee and bagels with hummus.  yum. It's gonna be a long night.
1320 t,	episode is called &quot;Dream a Little Dream of Me&quot; _ plays @taylorswift13 White Horse. Amazing  makes me cry everytime
1321 t,	watching the footy show again!!  nick riewoldt (L)
1322 t,	is listening to old music...for a change.
1323 t,	@lyltea whoa!!! I missd all this stuff?? I dont undstd twitter ur gonna hav to show me!!
1324 t,	aight im takin it down, sleep well and dream peacefully
1325 t,	@michaelxmilitia lmbo ! I know we are about 5 feet away  let's do something tomorrow !
1326 t,	via @LeahEstella: Thank you  Apparently, I may be cool enough to follow. Or this was an accident. Both, maybe? Hi.
1327 t,	WATCHING BRIDE WARS!  Who has seen it?
1328 t,	@constablesblog  thank you
1329 t,	@playspymaster I want an invite!
1330 t,	hEllo eVery0ne
1331 t,	Haha, internet vanished just as I was signing off. G'night, @neongreencookie and @saraolive! Sweet dreams
1332 t,	My anti-followfriday faves for the last wk: http://bit.ly/4o3tr I love you all, even if you've said nothing witty in the last wk!
1333 t,	just got home from musiq soulchiild &amp; anthony hamilton's concert. great night. music made love to me. I need cold shower, good night
1334 t,	Totoo kayang c ashton c @Aplusk? Hehe.. Curious
1335 t,	11:11pm make a wish!!!
1336 t,	::Home. So glad I hung in there and waited for the late flight. I will be in my bed tonight.
1337 t,	August 6 - 9 CEBU!   Yay, What a splendid week to celebrate my birthday and the big day!  I'm turning 25, SHIT.
1338 t,	http://twitpic.com/6634y  - Lala's first customers.
1339 t,	Hi Vie  I have joined
1340 t,	now following two of my fav sox boys, BA and Paulie.
1341 t,	@crystalcashmere hope the nightmares stop, jonny loves you
1342 t,	@ATsLady thanks pretty lady!
1343 t,	Mynanfel sleeping.  Sleeping children....one of life's most precious moments    http://twitpic.com/6634x
1344 t,	Oh! It's My HB-Day!!!, Thanks coushi @gabisanchez ! ...i love u so much
1345 t,	sleep and i never seem to meet anymore... what to do instead?...
1346 t,	@CyndysZoo good for you!! You deserve it!
1347 t,	going to bed soon after some youtube surfing... night all! sweet dreams!
1348 t,	@LVDayDreamer28 thought of anything clever to say! LOL   I'll work harder at it!
1349 t,	(justin) so my body tells me its time to work out again, im gonna go running,
1350 t,	@tatotat yes, ping pong bing bang dun dash NOW!
1351 t,	@mickyyoochun i also need to join that electo music comm you have. yay metronome
1352 t,	@Bolten727 AHHHH DUDE CONGRATS!!  I'M SO HAPPY FOR YOU!   everybody wish @michelle_2011 a happy birthday today!!
1353 t,	@jamiefarhat I just did  I keep forgetting, I need to save the links or something
1354 t,	@nueva_voz *waves* Hey lady  How are you today?
1355 t,	@Magro Start your own.
1356 t,	@itsgabbith That is so awesome!! Looks great!  I give her infants tylenol and I use this Teething gel by orajel, But she has 2 many coming
1357 t,	@stoya  Haha! You should have a few more books to not read in about a week when my package gets to you. Have a good flight, eventually.
1358 t,	@Locococomoco sweety we do next week! im thinking of not showing up at all today! haha! hilarous call this err afternoon!
1359 t,	I'm thinking about making my girls' weekly meeting a tradition  i love traditions
1360 t,	Just bought another pair of Nudies for only $138! Quality
1361 t,	@youngcardi hi babes
1362 t,	@ddlovatofans101 yea she is amazing talented beautiful and funny whats not 2 like am i right.
1363 t,	Very happy that I left the climbing gym cheerful and not frustrated. Been a while since that happened! Bring on the routes!
1364 t,	Guess who has unlimited texting now!? ME!!!  I can now tell people to text me without worrying about running low on texts!
1365 t,	@AZN8IV Thanks it was worth being tired all day  Well gotta get going to bed ttyl
1366 t,	let's pop a bottle of wine, stay indorrs and watch a chick flick!
1367 t,	@theKT feel that artistic FLOW!!!
1368 t,	I really wanna see UP! that talking dog just closed the deal for me
1369 t,	@Ravels aw. The bay will miss you too.
1370 t,	@CarrieEmmy Thanks CE! That was fun! Great to see Julia and Cooksterz in there too. We'll have to do it again soon.  Tag you're it! haha
1371 t,	@pdxfilms that's the best idea I've heard so far (hijack my neighbor's signal).  Not that I would condone such behavior either
1372 t,	is going to sleep...sweet dreams  &lt;3
1373 t,	I love my life! its so much better now! i have zero dramaz
1374 t,	@Ida_Black i used wap and then it worked
1375 t,	Totally forgot until now how great You, Me, and Everyone We Know is...damnn
1376 t,	@surewhynot On the strength of your reccomendation &amp; the 1st page of tweets on her stream I'm now following @KMacphizzle
1377 t,	@paul_steele Great weekend to be moving. Will be good exercise too! I hate moving house (unless someone else does all the hard work!)
1378 t,	I ilke loading up the car in the middle of the night; less of an audience that way
1379 t,	Both  you go up i'll go down
1380 t,	I&quot;m cranky. So I'll go to bed rather than take it out on my beloved Twitterverse. Because I need u to like me
1381 t,	@therealTiffany thank you so much for the comments  it's so sweet that you comment people back. i'm going to bed. goodnight! &lt;3
1382 t,	@NaniWaialeale Have dessert first! ICE CREAM!!!!
1383 t,	@Little_LauraLoo I totally sure lol.They'll release pictures coming soon  Who knew,Maybe They will add to My Chemical Romance blog ^_- x
1384 t,	I'm on a highway that leads to my highway I'd rather not get off. I lovee youu!
1385 t,	Is loving that Ted from scrubs was actually the awkward coach in Flubber first
1386 t,	@brebs No trouble, sweetie!  Take your time.
1387 t,	@Radioblogger Kind of like a class in college -Oops, did I say that?  #hhrs
1388 t,	early start....beautiful day
1389 t,	I went on the stickam chat again tonight. So much fun! Signing off, good night!
1390 t,	@TheBigfella lol yes the warm due was killing my throat i have ic now
1391 t,	wants to watch Drag Me to Hell
1392 t,	@sarahmama oh yeah? Name three. Tweet is life
1393 t,	@ZakGoesZooom  @CleoCatastrophe Let's run away together.
1394 t,	@xxjoh_xx thank you jonah.
1395 t,	to it!!
1396 t,	@grahamhills I liked this one!  hope you're well!
1397 t,	correction. KayuPutri is loving life in Berkeley
1398 t,	@mel_jayne you should have     (you should screencap and fave the question) if you haven't already LOL
1399 t,	@mishisherbert hahah i know your going to do well on all of them! just keep studyinng!!
1400 t,	Hmm ... I've been sleeping for 36hrs straight. This whole graduating high school thing is kinda awesome
1401 t,	@mmkerr http://twitpic.com/5jvx1 - love this pic you guys look great together.!!
1402 t,	@BeeScrapping: oh thats good that your starting to feel better
1403 t,	ok w/the scuRRed spongeBOB face :/  as I shake give the broad oOoops I mean stewardist my boarding ticket @Rheasings
1404 t,	Actually studyin' and its not so bad
1405 t,	or let's dance to the sound of twilight action girl
1406 t,	@lakersnation i love the retweets theyr funny.
1407 t,	MARA!!! Advanced Happy Birthday! Loveyou and GODbless always.  ?
1408 t,	@sweedzie hey there!
1409 t,	G' Night Tweeters!! Its  1 am here and need 2 catch up  Zzzzz's they say u loose weight by catching more and more  see ya'll tomorrow
1410 t,	@svyongue but I have this really strong feeling that the Jonas Brothers will be there  maybe that'll convince Heidi &amp; Maggie to go! lol
1411 t,	@David_Kaufer I'll have to add u to my FB pg.
1412 t,	@musicsinmyveins Good idea, 'cept I don't have one.  Should maybe look into that.
1413 t,	@Alley_Seeley Ps... you should most def get on facebook chat so we can ask each other questions
1414 t,	@sarahmaddox I can't resist a good pun (or a bad pun for that matter)
1415 t,	@joony_is_me Your Twitter pic
1416 t,	@benrigby Yeah, SaaN sounds a little web 3.0y but it's no crazier than those folks at @beextra promoting micro-volunteering
1417 t,	@loveshine yeah a unique fail
1418 t,	@amyalivee  you making me some music!?!?
1419 t,	just prepping for my making it happen call with all my lovely coaches tonight
1420 t,	@Shastwa You place a hot chick in front of a bridge and want us to look at the architecture? I see no bridge! Only lips!
1421 t,	good feelings in my tummy.  sleep now.
1422 t,	Omg there are skunks everywhere over here! I think there kinda cute though  only if they didn't smell :/
1423 t,	@loganzweb seeing you are in dundonald anyway how about a twitter freebie? My back garden is a freaking disgrace
1424 t,	@heidiprice have you tried GIMP lately? 2.6 is very nice
1425 t,	Waiting 4 Cheech n Chong show 2 begin. Lots of old hippies .   http://yfrog.com/0ax69j
1426 t,	At home  tomorrow I have to : give blood, bible study, &amp; swim party.
1427 t,	@saimin: I made chops n onions with brown gravy
1428 t,	Jason..Is a complete dork.
1429 t,	Yes ! I finished my autobiography  !
1430 t,	@Hatz94 heyyy just wanted to wish you a good night.  I was on stickam for a little but was having problems with some people messaging me..
1431 t,	lalala getting ready to go to Jamie's baby shower. my sis is coming tooo yay
1432 t,	@Im_A_Vujachick Yea let me know when you go
1433 t,	Who wants to watch Up in 3D tomorrow (Friday) night?
1434 t,	@ByronNewMedia you are welcome my friend
1435 t,	I like loading up the car in the middle of the night; less of an audience that way
1436 t,	My Follow Friday Pick of the Week: @Shaaaane - The conversational Irish boy who enjoys my cynical ramblings
1437 t,	i just noticed most of my tweets have to do with food.. and the playoffs. hahahaha. tmrw shall be fun. my throat feels somewhat better.
1438 t,	@dvgrhl  I will remember your comment every time I drive
1439 t,	@itslovescanvas Settle down I'am following her!
1440 t,	@RyFenton Hey man! Thought I'd tweet you  How was the house? How Was China china?  ALSO I'm trying to work out are you a Magic/Ca v fan?
1441 t,	hmm..SBI online slow today..exactly whn i want it to be fast..(that condition always applies, btw)
1442 t,	@asialakay sure thing... Take your time.
1443 t,	@NassauCT how what goes?
1444 t,	@SelenaSilk   THATS WHATS UP   HOW OFTEN YOU GO DOWN THERE?
1445 t,	@HarryHarley ~ I would never unfollow you...never
1446 t,	@Chelsa_love wow, thank you so much for them! you also capped the features  *kiss* i start uploading today with a HUGE credit. thank youu!
1447 t,	IF YOU LIKE SELENA GOMEZ THEN DOWNLOAD WOAH OH - FTSK &amp; SELENA GOMEZ ON ITUNES.PLEASE GIVE SOME GOOD REVIEWS TOO 4 THE SONG.
1448 t,	@tosolini @Shih_Wei @StevenMatsumoto Thanks so much! You guys are awesome!
1449 t,	@erstwhilestyle cool! I want to see the design!
1450 t,	cup a noodles
1451 t,	Ok so ya'll arent complete idiots!  just some of ya'll
1452 t,	@geishasabayle Imy too! Haha. Canada? It's great.  xo How's Philippines? )
1453 t,	@Cohenism Eeek. Good luck
1454 t,	Random fact: I love moving my cursor around pages which show sprinkles everytime the cursor moves. It feels like a magic dust
1455 t,	@LizzyDishes whoa, long boring drive! hope you have some good tunes to keep you company   have fun w/ your fam!
1456 t,	@jillianyson we should go sometime!  and what are you doing tmo night?
1457 t,	The pilot episode is just like the first season in 1 episode fun
1458 t,	@BeckyBuckwild Yeah you look like a skank who would toss some salad!! I aint hatin
1459 t,	@AdamAxon sounds good to me ...
1460 t,	@therealTiffany awesome(: i have no idea where that is lol. but thats okay
1461 t,	@officialTila and left a message  Hope you have a safe trip, and an amazingly awesome relaxation!!
1462 t,	after doing this one last day of shit we can start doing shit  HA! HA! HA!
1463 t,	@madcom ty for the #ff love
1464 t,	8 hours of revision ahead of me today, but im smiling because Larry Fitzgerald was chatting to me
1465 t,	@milaaaaycyrusss i no you do  everyone does
1466 t,	@PDXWeatherMan Congrats!
1467 t,	@kyliexmonster i hear ya sister
1468 t,	@CarriBugbee you have a bright future as a software QA if this social media thing doesn't work out for you
1469 t,	@nikifer i know nothing and im still stuck in the past hahaha but i hope you're happy niki! i lalalalovee you
1470 t,	@CMHolbrook well done you - you know it makes sense
1471 t,	@prettygurl312 i will...w/o my mom finding out lol!!!
1472 t,	@revtrev @garrymullen @mike90210 @AndyGroenink @Cortnee4Christ @paulagroenink #followfriday AG  #EFCN
1473 t,	@Isil_Loves_Mcr I voted for him
1474 t,	Cali checking out the flowers from @hotrod33coupe  http://mypict.me/1XHj
1475 t,	www.myspace.com/lemonsun El Pipe will be touring with Lemon Sun.
1476 t,	Curious about Hedonism?  Just ask   I sincerely hate assumptions.
1477 t,	sister hooked my nails UP! i love you  PROM IS TODAY!!! exciting and happy birthday to Nikoomoymoy
1478 t,	@Rina_spn me neither. Haha. Don't tell!
1479 t,	@ShashiTharoor just as I expected and hoped for. MOE is very you. The Ministry is lucky to have you.
1480 t,	@jaysingh haha it was only a morning off - had to take advantage of it
1481 t,	Okay I'm not off for a walk. Yet. Morrisons opens at 8 - I'll go there
1482 t,	Yo' @shitseal &amp; @benpenis are both majorly GAY!haha Just Thought I'll Share That
1483 t,	@Jalanii pssssss....ur cute shhhhhh...its a secret noone knows you are
1484 t,	@MJSchrader I *MIGHT* get a place here in Wimberly.. Found a cabin with my name on it ;) I'll be doing my best to make the Siglo Meetings
1485 t,	http://twitpic.com/6635c - #mrlaser with new batteries  #probablyillegal
1486 t,	@leggy8784 hahaha we just need time to heal... @jbee83 I'll tell you about it.
1487 t,	Nevermind! I'm going to sleep and I will study tomorroe in the morning! Goodnight twitters!
1488 t,	Sleeping...hoping to wake up early to watch tennis
1489 t,	@Whatabree lol no prob, i thought it was funny   ttyl
1490 t,	bed. going blonder tomorrow
1491 t,	@jon8737 anyday, anytime
1492 t,	@YuleHeibel it's nice.. Rogers is releasing it next week in Canada
1493 t,	BrB...about to eat, drink and dance
1494 t,	Getting the hang of twitter...
1495 t,	@snarkle Thanks   Do you know much about the iinet naked DSL plans with VOIP?
1496 t,	@duaba Yeah, I'm ok now.  It went away after a while
1497 t,	@rubenjuarez with everyone gone this week, I practically am one. (zing!)
1498 t,	@detroitpro are you looking for a home-based job? would you like to offer your services? please @ or DM me;I'll try to help you find work
1499 t,	@jackalopekid Dude I'm just me...  msg me anytme if you want a Retweet   keep up the good content and catch @CarinaK thedrilldown.com
1500 t,	is feeling the heat and wonders why the wrong boys chase after her and the right are clueless...
1501 t,	I'm up..... weather out looks gorgeous
1502 t,	@kahhongtay @jeremy89632 sorry, i was living in the past... forgot to wind the time machine back correctly
1503 t,	i love Los Campesinos! just saying, everyone should go listen to them
1504 t,	Home yay now meeza sleep  omg Ms Corbin had her hair straightened today! :O and we're slowly getting Ms Peterson back :'( ahhh!
1505 t,	@jordironi I love you
1506 t,	ima awwaay..maybe theres wi-fi somewhere today
1507 t,	Oh, I give up.  Just look up Modernality Home Decor if you want to add me on Facebook....
1508 t,	http://twitpic.com/6639u - My doggy
1509 t,	Nite nite birdies. Going to sleep. I see you Pillow. One.
1510 t,	p00p - silly me lolzfactor
1511 t,	I enjoy late night conversations, no matter how awkward they can be at first
1512 t,	@smackpi you're gonna use a lot of trees if you keep blowing your nose! get better  but... POKE POKE POKE POKE POKE POKE POKE POKE POKE
1513 t,	@joshculling come on Josh, 4 drivers, that's only 7.5hrs for each person, each way.
1514 t,	@nokiamobiletalk great interview. too bad LCG has no future planned apps. Good thing he has an 5800, more tweaks &amp; optimization for S60v5
1515 t,	Wow. It's late. And I'm not that tired. Coding an iPhone app now.
1516 t,	@djangodash thanks for fixing
1517 t,	@yvettie teehee  i heard a story of an office worker putting chocolate-coated possum poo in the fridge, saying &quot;don't eat&quot;
1518 t,	Just thought of a great non-mariachi song to write for mariachi. Should start working on it soon...
